token_address,alerted_at,final_score,smart_money_detected,first_alert_at,last_checked_at,first_price_usd,first_market_cap_usd,first_liquidity_usd,last_price_usd,last_market_cap_usd,last_liquidity_usd,last_volume_24h_usd,peak_price_usd,peak_market_cap_usd,peak_volume_24h_usd,peak_price_at,peak_market_cap_at,outcome,outcome_at,peak_drawdown_pct,peak_x_price,peak_x_mcap,time_to_peak_price_s,time_to_peak_mcap_s
BSnbyvE7zJcaxgrwwqt2qJUP1Kh2BHhhxoWK25yKpump,2025-09-26 05:03:07,8,1,2025-09-26 05:03:07,2025-09-26 07:38:57,0.0001779,177991.0,54691.16,0.0001864,186476.0,55861.51,293646.76,0.0001864,186476.0,316661.51,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,1.047779651489601,1.0476709496547578,9350,9350
EbLBfH6LByi2DNkoL8WNVrcRbKC12oJptNSuxohmfNh,2025-09-26 05:19:58,10,1,2025-09-26 05:19:58,2025-09-26 07:38:57,3.596e-05,35963.0,27264.61,3.866e-05,38663.0,28125.63,111904.71,3.866e-05,38663.0,111904.71,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,1.075083426028921,1.0750771626393794,8339,8339
BSmKbyHpyWVamsGv6Ja7xEqAyMwNn4TRsyX4hFxEpump,2025-09-26 05:27:21,10,1,2025-09-26 05:27:21,2025-09-26 07:38:57,4.392e-05,43922.87,0.0,0.0001221,122157.0,41192.92,280320.3,0.0001221,122157.0,280320.3,2025-09-26 07:38:57,2025-09-26 07:38:57,,,,2.7800546448087435,2.7811707204014673,7896,7896
G9mRRd16qLYzbp7trdj7DFSZyLePM9DepaWnJJLwCUDF,2025-09-26 05:32:38,10,1,2025-09-26 05:32:38,2025-09-26 07:38:58,4.995e-05,49958.6,0.0,9.609e-05,96097.0,37001.17,593978.95,9.609e-05,96097.0,593978.95,2025-09-26 07:38:58,2025-09-26 07:38:58,,,,1.9237237237237237,1.9235326850632324,7580,7580
DrJnnTuBDLRZTQmtKgcBkFH3taLbGCNh9DBhWMkhpump,2025-09-26 05:37:53,10,1,2025-09-26 05:37:53,2025-09-26 07:38:58,8.07e-05,80705.08,0.0,0.0001599,159984.0,47503.85,348110.81,0.0001599,159984.0,348110.81,2025-09-26 07:38:58,2025-09-26 07:38:58,,,,1.9814126394052047,1.9823287456006486,7265,7265
C7DCrTuwQFtVAs7o1yhhixNPcGuentzztVwvqiHpKvvy,2025-09-26 06:23:17,9,1,2025-09-26 06:23:17,2025-09-26 06:23:17,0.001097,1097104.0,139803.42,0.001097,1097104.0,139803.42,340177.44,0.001097,1097104.0,340177.44,2025-09-26 06:23:17,2025-09-26 06:23:17,,,,1.0,1.0,0,0
HSx8kf4sNva8TNb3EF8RLo5apbYqRyRcWbFBwaDZpump,2025-09-26 06:25:26,10,1,2025-09-26 06:25:26,2025-09-26 06:25:26,1.517e-05,15178.68,0.0,1.517e-05,15178.68,0.0,53026.59,1.517e-05,15178.68,53026.59,2025-09-26 06:25:26,2025-09-26 06:25:26,,,,1.0,1.0,0,0
HbWh7D6P2ToPMaUHMMCeDzx6W4iSdYQYZqEYYhh5JXdr,2025-09-26 06:31:49,9,1,2025-09-26 06:31:49,2025-09-26 06:31:49,0.003449,3449379.0,278564.91,0.003449,3449379.0,278564.91,1150048.67,0.003449,3449379.0,1150048.67,2025-09-26 06:31:49,2025-09-26 06:31:49,,,,1.0,1.0,0,0
BUF3TvvZfCMMWaPZJMTGm5WWVmi2arQ9Swze4CPEbonk,2025-09-26 07:06:33,8,1,2025-09-26 07:06:33,2025-09-26 07:06:33,0.0002672,267216.0,54453.42,0.0002672,267216.0,54453.42,612000.92,0.0002672,267216.0,612000.92,2025-09-26 07:06:33,2025-09-26 07:06:33,,,,1.0,1.0,0,0
ECCQh8HccpTZ3g4mK6rUhqWGMvSr3XDya4oRqgiXpump,2025-09-26 07:24:16,10,1,2025-09-26 07:24:16,2025-09-26 07:24:16,1.827e-05,18279.13,0.0,1.827e-05,18279.13,0.0,130764.29,1.827e-05,18279.13,130764.29,2025-09-26 07:24:16,2025-09-26 07:24:16,,,,1.0,1.0,0,0
5e6nUextdJg54NSSUNN1SntnBjyga2NVXwmTotWCPqgJ,2025-09-26 07:33:38,10,1,2025-09-26 07:33:38,2025-09-26 07:33:38,4.588e-05,45885.0,22114.42,4.588e-05,45885.0,22114.42,108528.43,4.588e-05,45885.0,108528.43,2025-09-26 07:33:38,2025-09-26 07:33:38,,,,1.0,1.0,0,0
GkeUTuaFB4oZADaqiCo3yauHNx9SxUNn8euHptEEbonk,2025-09-26 07:45:26,8,1,2025-09-26 07:45:26,2025-09-26 07:45:26,4.659e-07,195679.0,111849.08,4.659e-07,195679.0,111849.08,59918.81,4.659e-07,195679.0,59918.81,2025-09-26 07:45:26,2025-09-26 07:45:26,,,,1.0,1.0,0,0
ByC7sCHFL4s96JnwhbnC27dyY9iTzsjYDvx3XGgopump,2025-09-26 07:49:37,10,1,2025-09-26 07:49:37,2025-09-26 07:49:37,8.013e-05,80138.07,0.0,8.013e-05,80138.07,0.0,237794.46,8.013e-05,80138.07,237794.46,2025-09-26 07:49:37,2025-09-26 07:49:37,,,,1.0,1.0,0,0
CnbALMqQdGKtcYrBk6f9DqMh8oCcsp6BvtXta8DVpump,2025-09-26 07:50:42,9,1,2025-09-26 07:50:42,2025-09-26 07:50:42,0.000161,160357.0,47179.93,0.000161,160357.0,47179.93,70005.99,0.000161,160357.0,70005.99,2025-09-26 07:50:42,2025-09-26 07:50:42,,,,1.0,1.0,0,0
