contract_address,pair_address,token_name,current_price_usd,estimated_low_24h,gain_multiple,gain_percent,price_change_m5,price_change_h1,price_change_h6,price_change_h24,pump_timing,pump_strength,volume_h24,volume_h6,volume_h1,volume_m5,volume_concentration_h6_pct,volume_concentration_h1_pct,volume_concentration_m5_pct,buys_h24,sells_h24,buys_h6,sells_h6,buys_h1,sells_h1,buy_sell_ratio_h24,buy_sell_ratio_h6,buy_sell_ratio_h1,buy_sell_ratio_m5,liquidity_usd,liq_to_volume_ratio,avg_trade_size_h24,avg_trade_size_h1,pair_age_hours,outcome_label,base_symbol,quote_symbol
5zCETicUCJqJ5Z3wbfFPZqtSpHPYqnggs1wX7ZRpump,3mgxf9vvdd82e75bovuajps1wymjozcao4mb6zpqdjnv,Just a moment...,0.00391,0.0032496675531914895,1.2032,20.32,-1.08,-0.25,10.74,20.32,last_24hours,20.32,261292.59,60092.38,6664.19,326.57,23.0,2.55,0.12,429,530,77,114,9,20,0.809,0.675,0.45,0.0,570815.78,2.1846,272.46,229.8,1779.34,0,SPARK,SOL
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,3sjnocnkkhwpvxygdtem8rccihsgc9jsfzuuazkbvrvp,Just a moment...,0.04017,0.04017,1.0,0.0,-0.46,1.22,0.59,-1.83,unknown,0,2425492.27,718281.87,49467.72,5504.07,29.61,2.04,0.23,3785,3694,856,992,76,67,1.025,0.863,1.134,0.0,3358991.14,1.3849,324.31,345.93,8512.12,0,ZEREBRO,SOL
2f6KPSCVdn5qaGjx96UnzMVHThAqDFuNKrfYcffdpump,3xrlc6r3jvu9t5mecgcg8zggrfr8kcefymabyjvxxk6w,Just a moment...,0.0001618,2.9907578558225508e-05,5.41,441.0,1.74,-23.76,93.09,441.0,last_6hours,93.09,446276.05,210760.03,42449.46,448.4,47.23,9.51,0.1,3025,2308,1288,959,301,209,1.311,1.343,1.44,2.333,55684.25,0.1248,83.68,83.23,159.8,1,USDT,SOL
4NGbC4RRrUjS78ooSN53Up7gSg4dGrj6F6dxpMWHbonk,4bn7ow3iynapgdhwhs8zlvw8ytuutboqdn95rfeusr9d,Just a moment...,8.776e-05,8.776e-05,1.0,0.0,0.28,0.98,1.46,-0.23,unknown,0,636084.26,89193.11,15054.56,574.88,14.02,2.37,0.09,2619,2235,383,362,72,65,1.172,1.058,1.108,0.667,480046.09,0.7547,131.04,109.89,1041.39,0,PANDU,SOL
923c72PCCvZN93L1KfRRgNp5QjFWfJjqu5GmjwCnpump,4jgzwqah4d84xh2ds4ukxff1j1dkx3ufuzqm2xxnlrr3,Just a moment...,0.0001373,5.128875607022787e-06,26.77,2577.0,0.48,-29.19,-49.01,2577.0,last_24hours,2577.0,204199.63,90854.16,12895.05,43.81,44.49,6.31,0.02,73451,245,43084,135,7968,24,299.8,319.141,332.0,381.0,45672.55,0.2237,2.77,1.61,11250.45,1,GOGO,SOL
F5qFr17LeunQk5ikRM9hseSi2bbZYXYRum8zaTegtrnd,4jwzncz5gkxw9gaqz89ge4q6bntdxitfiu6ee7nnmrtp,Just a moment...,0.001212,0.001212,1.0,0.0,0.25,1.0,-10.85,-41.74,unknown,0,16414017.98,135826.41,14281.35,515.52,0.83,0.09,0.0,23425,17566,348,347,59,59,1.334,1.003,1.0,1.4,741059.69,0.0451,400.43,121.03,19.0,0,MODRIC,SOL
HP2uHi3b7uiPYZjk1zg2Wp3ZmXKFY8BA434T3uLSpump,4rpmxc7xchlgfnazpgxikbfzum3hhyjouujunp5dsh3t,Just a moment...,4.477e-06,4.477e-06,1.0,0.0,-3.55,-97.9,-94.5,-94.5,unknown,0,1519818.86,1519818.86,330302.83,97.21,100.0,21.73,0.01,5101,3781,5101,3781,1068,1055,1.349,1.349,1.012,0.0,8073.8,0.0053,171.11,155.58,2.87,0,COMEDIAN,SOL
1zJX5gRnjLgmTpq5sVwkq69mNDQkCemqoasyjaPW6jm,4sbywy5uuxybwuj8fwhdfxun6mbtacrqbjwiz9mxworp,Just a moment...,0.03754,0.0240348293744798,1.5619,56.19,3.01,4.61,14.88,56.19,last_24hours,56.19,493527.48,94291.68,34746.22,414.54,19.11,7.04,0.08,312,332,73,31,8,8,0.94,2.355,1.0,0,1371696.48,2.7794,766.35,2171.64,3586.57,0,KLED,SOL
CA6DpicXuJUsSWziuV4oHmqpHTSMZLz9EGjYPyXJpump,4vgwqneilnq1hrmddiros8gn2wwmzwuu83g1ctbhcsay,Just a moment...,0.0001473,7.365368268413422e-05,1.9999,99.99,-3.29,-20.14,16.61,99.99,last_24hours,99.99,561312.78,90993.14,16352.72,1599.97,16.21,2.91,0.29,4389,2835,546,434,110,80,1.548,1.258,1.375,1.75,44950.09,0.0801,77.7,86.07,19.67,0,ZEKTA,SOL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama,Just a moment...,0.09225,0.08562279561908298,1.0774,7.74,-0.47,-1.24,2.69,7.74,unknown,0,3099662.94,890188.14,82804.67,1851.68,28.72,2.67,0.06,2875,2359,574,599,92,39,1.219,0.958,2.359,0.167,4597632.55,1.4833,592.22,632.1,4336.76,0,TROLL,SOL
